grid_n,cells,best_tier,best_gen_per_sec,best_cell_updates_per_sec,fits_on_gw2a18,lut4_required,fabric_gen_per_sec,fabric_cell_updates_per_sec,speedup_vs_best_software
16,256,numba,138430.33839236802,35438166.628446214,True,3481.6,27000000,6912000000,195.04395000083719
32,1024,numba,66141.06566552995,67728451.24150267,True,13926.4,27000000,27648000000,408.21839999580334
64,4096,numba,25190.122449088947,103178741.55146833,False,55705.6,,,
128,16384,numba,7348.564457887632,120398880.07803096,False,222822.4,,,
